<<<<<<< HEAD
name,state,Job_Title,Company_Name,avg_Salary,avg_size,Founded,latitude,longitude,Rating
New York,NY,Senior Data Scientist,"Hopper
3.5",146000.0,1000.0,2007,43.299428,-74.217933,3.5
New York,NY,"Data Scientist, Product Analytics","Noom US
4.5",146000.0,5000.0,2008,43.299428,-74.217933,4.5
New York,NY,Data Science Manager,Decode_M,146000.0,50.0,NULL,43.299428,-74.217933,NULL
New York,NY,"Director, Data Science","United Entertainment Group
3.4",146000.0,200.0,2007,43.299428,-74.217933,3.4
New York,NY,Data Scientist,"IFG Companies
2.9",146000.0,500.0,1985,43.299428,-74.217933,2.9
New York,NY,Quantitative Researcher,"PDT Partners
4.4",146000.0,200.0,1993,43.299428,-74.217933,4.4
New York,NY,Quantitative Research Associate,Enlightenment Research,146000.0,50.0,NULL,43.299428,-74.217933,NULL
New York,NY,AI Scientist,"Paige
5.0",146000.0,50.0,2018,43.299428,-74.217933,5.0
New York,NY,Quantitative Researcher,"Jane Street
4.8",146000.0,1000.0,2000,43.299428,-74.217933,4.8
New York,NY,Data Scientist,"Quartet Health
3.9",146000.0,500.0,2014,43.299428,-74.217933,3.9
New York,NY,Data Scientist/Machine Learning,"PulsePoint
4.4",146000.0,200.0,2011,43.299428,-74.217933,4.4
New York,NY,"Data Scientist, Acorn AI Labs","Medidata Solutions
4.3",146000.0,5000.0,1999,43.299428,-74.217933,4.3
New York,NY,Data Scientist,"Point72
3.9",146000.0,5000.0,2014,43.299428,-74.217933,3.9
New York,NY,Data Scientist - Alpha Insights,"Two Sigma
4.4",146000.0,5000.0,2001,43.299428,-74.217933,4.4
New York,NY,Data Scientist,"Affinity Solutions
3.0",146000.0,200.0,1998,43.299428,-74.217933,3.0
New York,NY,"Data Scientist, Analytics","Etsy
3.6",146000.0,1000.0,2005,43.299428,-74.217933,3.6
New York,NY,Data Scientist/ML Engineer,"PA Consulting
3.3",146000.0,5000.0,1943,43.299428,-74.217933,3.3
New York,NY,Data Scientist,"Etsy
3.6",146000.0,1000.0,2005,43.299428,-74.217933,3.6
New York,NY,"VP, Data Science","7Park Data
3.9",146000.0,200.0,2012,43.299428,-74.217933,3.9
New York,NY,"Data Scientist, Disney+ Personalization","Walt Disney Co.
4.0",146000.0,,1923,43.299428,-74.217933,4.0
New York,NY,"Senior Data Scientist, Data Science Operations","Squarespace
3.4",146000.0,5000.0,2003,43.299428,-74.217933,3.4
New York,NY,Quantitative Researcher – Intern (US),"Citadel Securities
4.1",146000.0,500.0,2002,43.299428,-74.217933,4.1
New York,NY,Senior Data Engineer (Healthcare Domain experience required),"Enterprise Integration
3.4",146000.0,200.0,1998,43.299428,-74.217933,3.4
New York,NY,Data Scientist,"WITHIN
4.4",146000.0,200.0,2015,43.299428,-74.217933,4.4
New York,NY,"Data Scientist, Marketplace Economics","Spotify
3.8",146000.0,5000.0,2006,43.299428,-74.217933,3.8
New York,NY,Data Scientist,"Datadog
4.1",146000.0,5000.0,2010,43.299428,-74.217933,4.1
New York,NY,Lead Data Scientist,"Aetna
3.3",146000.0,,1853,43.299428,-74.217933,3.3
New York,NY,"Data Scientist, Personalization","Hungryroot
5.0",146000.0,50.0,2015,43.299428,-74.217933,5.0
New York,NY,Principal Data Scientist,"Aetna
3.3",146000.0,,1853,43.299428,-74.217933,3.3
New York,NY,Data Scientist,"Caserta
4.3",130000.0,200.0,2001,43.299428,-74.217933,4.3
New York,NY,"Data Scientist, Decisions","Lyft
3.7",130000.0,10000.0,2012,43.299428,-74.217933,3.7
New York,NY,Data Scientist,"IBG LLC
4.3",130000.0,500.0,1990,43.299428,-74.217933,4.3
New York,NY,Data Scientist,"CLEAR
3.0",130000.0,5000.0,2010,43.299428,-74.217933,3.0
New York,NY,Data Science Analyst,"GNY Insurance Companies
3.7",130000.0,500.0,1914,43.299428,-74.217933,3.7
New York,NY,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]","Squarespace
3.4",130000.0,5000.0,2003,43.299428,-74.217933,3.4
New York,NY,Data Scientist,"Andiamo
3.5",130000.0,500.0,NULL,43.299428,-74.217933,3.5
